dataset,arm,seed,lr,checkpoint,reconciliation,level,rmsse
Labour,LORA,92110,0.0003,512,unreconciled,Country,0.7517711664204715
Labour,LORA,92110,0.0003,512,unreconciled,Country/Region,0.8025460171438497
Labour,LORA,92110,0.0003,512,unreconciled,Country/Gender/Region,0.8601219365048718
Labour,LORA,92110,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0577953751660627
Labour,LORA,92110,0.0003,512,bottom_up,Country,0.682479837035131
Labour,LORA,92110,0.0003,512,bottom_up,Country/Region,0.8260432196151978
Labour,LORA,92110,0.0003,512,bottom_up,Country/Gender/Region,0.8766691483616015
Labour,LORA,92110,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0577953751660627
Labour,LORA,92110,0.0003,512,mint_shrink,Country,0.7763113238050852
Labour,LORA,92110,0.0003,512,mint_shrink,Country/Region,0.8800272090076071
Labour,LORA,92110,0.0003,512,mint_shrink,Country/Gender/Region,0.9242095715276475
Labour,LORA,92110,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1388683602864664
Labour,LORA,92110,0.0003,512,ols,Country,0.7469560421986531
Labour,LORA,92110,0.0003,512,ols,Country/Region,0.8328868392384732
Labour,LORA,92110,0.0003,512,ols,Country/Gender/Region,0.8705818421751474
Labour,LORA,92110,0.0003,512,ols,Country/Employment/Gender/Region,1.0679056328146777
Labour,LORA_SELF,92110,0.0003,512,unreconciled,Country,0.7515559445538362
Labour,LORA_SELF,92110,0.0003,512,unreconciled,Country/Region,0.8026724064993697
Labour,LORA_SELF,92110,0.0003,512,unreconciled,Country/Gender/Region,0.8602337762747095
Labour,LORA_SELF,92110,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0578522269964243
Labour,LORA_SELF,92110,0.0003,512,bottom_up,Country,0.6841746710373617
Labour,LORA_SELF,92110,0.0003,512,bottom_up,Country/Region,0.8264175241001024
Labour,LORA_SELF,92110,0.0003,512,bottom_up,Country/Gender/Region,0.8770371408892785
Labour,LORA_SELF,92110,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0578522269964243
Labour,LORA_SELF,92110,0.0003,512,mint_shrink,Country,0.7761026447560971
Labour,LORA_SELF,92110,0.0003,512,mint_shrink,Country/Region,0.8800501101069279
Labour,LORA_SELF,92110,0.0003,512,mint_shrink,Country/Gender/Region,0.9238268597146533
Labour,LORA_SELF,92110,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1376084528582102
Labour,LORA_SELF,92110,0.0003,512,ols,Country,0.7469492940325532
Labour,LORA_SELF,92110,0.0003,512,ols,Country/Region,0.832413051108548
Labour,LORA_SELF,92110,0.0003,512,ols,Country/Gender/Region,0.870212002319402
Labour,LORA_SELF,92110,0.0003,512,ols,Country/Employment/Gender/Region,1.0675286587121666
Labour,LORA_POOL,92110,0.0003,512,unreconciled,Country,0.7506086509187038
Labour,LORA_POOL,92110,0.0003,512,unreconciled,Country/Region,0.8021106036987489
Labour,LORA_POOL,92110,0.0003,512,unreconciled,Country/Gender/Region,0.8595776705877887
Labour,LORA_POOL,92110,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.05736962124577
Labour,LORA_POOL,92110,0.0003,512,bottom_up,Country,0.6813304503635883
Labour,LORA_POOL,92110,0.0003,512,bottom_up,Country/Region,0.8257609890621104
Labour,LORA_POOL,92110,0.0003,512,bottom_up,Country/Gender/Region,0.876419155236591
Labour,LORA_POOL,92110,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.05736962124577
Labour,LORA_POOL,92110,0.0003,512,mint_shrink,Country,0.7742226797436773
Labour,LORA_POOL,92110,0.0003,512,mint_shrink,Country/Region,0.8795277260572455
Labour,LORA_POOL,92110,0.0003,512,mint_shrink,Country/Gender/Region,0.9235057778525045
Labour,LORA_POOL,92110,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.1385254063786223
Labour,LORA_POOL,92110,0.0003,512,ols,Country,0.7458347294722896
Labour,LORA_POOL,92110,0.0003,512,ols,Country/Region,0.8323523168316591
Labour,LORA_POOL,92110,0.0003,512,ols,Country/Gender/Region,0.8700172937755082
Labour,LORA_POOL,92110,0.0003,512,ols,Country/Employment/Gender/Region,1.0672831549997015
Labour,LORA_HIER,92110,0.0003,512,unreconciled,Country,0.7489336729413312
Labour,LORA_HIER,92110,0.0003,512,unreconciled,Country/Region,0.8016788933116826
Labour,LORA_HIER,92110,0.0003,512,unreconciled,Country/Gender/Region,0.8591281733603746
Labour,LORA_HIER,92110,0.0003,512,unreconciled,Country/Employment/Gender/Region,1.0577557659704282
Labour,LORA_HIER,92110,0.0003,512,bottom_up,Country,0.6797312803129272
Labour,LORA_HIER,92110,0.0003,512,bottom_up,Country/Region,0.8259692542109853
Labour,LORA_HIER,92110,0.0003,512,bottom_up,Country/Gender/Region,0.8767148767978041
Labour,LORA_HIER,92110,0.0003,512,bottom_up,Country/Employment/Gender/Region,1.0577557659704282
Labour,LORA_HIER,92110,0.0003,512,mint_shrink,Country,0.77237980925818
Labour,LORA_HIER,92110,0.0003,512,mint_shrink,Country/Region,0.8776011443852942
Labour,LORA_HIER,92110,0.0003,512,mint_shrink,Country/Gender/Region,0.9216414790434229
Labour,LORA_HIER,92110,0.0003,512,mint_shrink,Country/Employment/Gender/Region,1.138211649359544
Labour,LORA_HIER,92110,0.0003,512,ols,Country,0.7442336716083697
